ID,deathage,Population,Treatment,Mate,Sex.mode,Batch,Nr.extraction,Original.Sample.Conc..Qubit..ng.uL.,WSP.Conc...cp.µL...dPCR.reaction.,ACTIN.Conc...cp.µL...dPCR.reaction.,date_ddPCR,Group,timepoint,propwolb,AverageEggs,AverageDev
AC.01,39,Reunion,Control,Unmated,Parthenogenesis,1,134,3.9,640.8870791,283.8336898,,MiniExp,2,0.578965874,3,NA
AC.02,39,Reunion,Control,Unmated,Parthenogenesis,1,135,1.45,333.9950498,170.2273254,,MiniExp,2,1.353140062,2.5,NA
AC.03,39,Reunion,Control,Unmated,Parthenogenesis,1,136,2.9,713.0481805,302.6342249,,MiniExp,2,0.812461588,4.5,NA
AC.04,43,Reunion,Control,Unmated,Parthenogenesis,2,137,1.82,334.5079276,199.5229921,,MiniExp,2,0.921174862,2.5,NA
AC.05,43,Reunion,Control,Unmated,Parthenogenesis,2,138,3.02,980.6909649,227.6569142,,MiniExp,2,1.426410038,0,NA
AC.06,43,Reunion,Control,Unmated,Parthenogenesis,2,139,4.08,919.0913148,227.663445,,MiniExp,2,0.989475843,1,NA
ACM1.01,91,Reunion,Control,Mated,Parthenogenesis,1,76,2.48,2459.900602,230.6303886,250616,AfterObs,18,4.300800992,5.944444444,0.926046176
ACM1.02,53,Reunion,Control,Mated,Parthenogenesis,1,1,3.28,1416.693987,236.989556,250616,AfterTreat,8,1.822522924,5,0.975
ACM1.04,53,Reunion,Control,Mated,Parthenogenesis,1,2,4.82,1654.30392,343.8508431,250617_2,AfterTreat,8,0.998155415,3.125,0.979166667
ACM1.05,83,Reunion,Control,Mated,Parthenogenesis,1,77,2.74,1829.335331,286.9314871,250617_3,AfterObs,18,2.326829441,5.222222222,0.925
ACM1.06,45,Reunion,Control,Mated,Parthenogenesis,1,3,4.06,1448.241991,303.7922771,250617_3,AfterTreat,8,1.174189987,3.25,0.952380952
ACM2.02,68,Reunion,Control,Mated,Parthenogenesis,2,4,4.02,2173.869595,424.8472904,250617_1,AfterTreat,8,1.27284225,3.625,0.923809524
ACM2.03,106,Reunion,Control,Mated,Parthenogenesis,2,78,1.07,1094.228839,113.92983,250617_1,AfterObs,18,8.976084444,5.722222222,0.971851852
ACM2.04,68,Reunion,Control,Mated,Parthenogenesis,2,5,3.56,1550.626565,291.8142685,250616,AfterTreat,8,1.492624957,4.375,0.952380952
ACM2.05,68,Reunion,Control,Mated,Parthenogenesis,2,6,4.22,1580.99776,291.5340471,250617_3,AfterTreat,8,1.285078099,4.25,0.895833333
ACM2.07,68,Reunion,Control,Mated,Parthenogenesis,2,7,3.82,1754.911278,335.0793643,250623,AfterTreat,8,1.371021039,6.375,0.951298701
ACM2.08,106,Reunion,Control,Mated,Parthenogenesis,2,79,1.77,950.4824795,201.5820556,250623,AfterObs,18,2.663906515,4.5,0.966666667
ACM3.01,80,Reunion,Control,Mated,Parthenogenesis,3,80,0.676,1304.723356,97.64932825,250617_2,AfterObs,18,NA,5.388888889,0.896358543
ACM3.02,42,Reunion,Control,Mated,Parthenogenesis,3,8,4.08,2202.767159,315.8333891,250617_2,AfterTreat,8,1.709426331,5.75,0.972222222
ACM3.03,42,Reunion,Control,Mated,Parthenogenesis,3,9,6.5,2986.221527,423.188854,250623,AfterTreat,8,1.085611523,5.5,0.930555556
ACM4.01,42,Reunion,Control,Mated,Parthenogenesis,4,10,2.84,1434.886073,202.9004679,250617_1,AfterTreat,8,2.490095662,2.625,0.840476191
